date,cases_Ada,cases_Canyon,deaths_Ada,deaths_Canyon,ada_new_cases,ada_new_deaths,canyon_new_cases,canyon_new_deaths
2020-03-13,1,0,0,0,NA,NA,NA,NA
2020-03-14,2,0,0,0,1,0,0,0
2020-03-15,2,0,0,0,0,0,0,0
2020-03-16,2,0,0,0,0,0,0,0
2020-03-17,3,0,0,0,1,0,0,0
2020-03-18,3,0,0,0,0,0,0,0
2020-03-19,3,0,0,0,0,0,0,0
2020-03-20,4,1,0,0,1,0,1,0
2020-03-21,11,1,0,0,7,0,0,0
2020-03-22,13,3,0,0,2,0,2,0
2020-03-23,15,4,0,0,2,0,1,0
2020-03-24,22,5,0,0,7,0,1,0
2020-03-25,37,8,0,0,15,0,3,0
2020-03-26,54,22,0,1,17,0,14,1
2020-03-27,76,23,0,1,22,0,1,0
2020-03-28,88,22,1,1,12,1,-1,0
2020-03-29,113,40,2,1,25,1,18,0
2020-03-30,151,48,3,1,38,1,8,0
2020-03-31,195,53,3,1,44,0,5,0
2020-04-01,226,68,3,1,31,0,15,0
2020-04-02,307,79,3,1,81,0,11,0
2020-04-03,351,89,3,1,44,0,10,0
2020-04-04,385,99,3,1,34,0,10,0
2020-04-05,402,101,3,1,17,0,2,0
2020-04-06,419,104,3,3,17,0,3,2
2020-04-07,438,114,3,3,19,0,10,0
2020-04-08,447,121,5,3,9,2,7,0
2020-04-09,496,139,6,4,49,1,18,1
2020-04-10,516,145,6,5,20,0,6,1
2020-04-11,521,146,6,5,5,0,1,0
2020-04-12,521,155,6,5,0,0,9,0
2020-04-13,539,161,9,5,18,3,6,0
2020-04-14,557,169,9,5,18,0,8,0
2020-04-15,567,181,9,5,10,0,12,0
2020-04-16,576,181,9,5,9,0,0,0
2020-04-17,593,187,9,5,17,0,6,0
2020-04-18,598,187,10,5,5,1,0,0
2020-04-19,598,187,10,5,0,0,0,0
2020-04-20,616,207,12,5,18,2,20,0
2020-04-21,622,212,12,6,6,0,5,1
2020-04-22,630,215,14,6,8,2,3,0
2020-04-23,635,222,14,6,5,0,7,0
2020-04-24,642,226,14,6,7,0,4,0
2020-04-25,650,231,15,6,8,1,5,0
2020-04-26,650,233,15,6,0,0,2,0
2020-04-27,661,238,15,6,11,0,5,0
2020-04-28,662,250,16,6,1,1,12,0
2020-04-29,671,252,16,6,9,0,2,0
2020-04-30,681,255,16,7,10,0,3,1
2020-05-01,689,259,16,7,8,0,4,0
2020-05-02,705,258,17,7,16,1,-1,0
2020-05-03,705,258,17,7,0,0,0,0
2020-05-04,710,266,17,7,5,0,8,0
2020-05-05,713,266,19,7,3,2,0,0
2020-05-06,717,270,19,7,4,0,4,0
2020-05-07,721,272,19,6,4,0,2,-1
2020-05-08,731,272,19,6,10,0,0,0
2020-05-09,733,272,19,6,2,0,0,0
2020-05-10,733,272,19,6,0,0,0,0
2020-05-11,739,274,21,6,6,2,2,0
2020-05-12,744,274,21,6,5,0,0,0
2020-05-13,754,275,21,6,10,0,1,0
2020-05-14,759,276,22,6,5,1,1,0
2020-05-15,770,277,22,6,11,0,1,0
2020-05-16,773,277,22,6,3,0,0,0
2020-05-17,773,277,22,6,0,0,0,0
2020-05-18,780,276,22,6,7,0,-1,0
2020-05-19,783,280,23,6,3,1,4,0
2020-05-20,792,280,23,6,9,0,0,0
2020-05-21,791,283,23,6,-1,0,3,0
2020-05-22,794,284,23,6,3,0,1,0
2020-05-23,796,284,23,6,2,0,0,0
2020-05-24,796,284,23,6,0,0,0,0
2020-05-25,798,284,23,6,2,0,0,0
2020-05-26,798,287,22,6,0,-1,3,0
2020-05-27,800,291,22,6,2,0,4,0
2020-05-28,803,294,22,6,3,0,3,0
2020-05-29,805,300,22,6,2,0,6,0
2020-05-30,812,303,22,6,7,0,3,0
2020-05-31,812,303,22,6,0,0,0,0
2020-06-01,818,310,22,6,6,0,7,0
2020-06-02,818,310,22,6,0,0,0,0
2020-06-03,823,315,22,6,5,0,5,0
2020-06-04,832,322,22,6,9,0,7,0
2020-06-05,833,336,22,6,1,0,14,0
2020-06-06,838,340,22,6,5,0,4,0
2020-06-07,838,340,22,6,0,0,0,0
2020-06-08,844,345,22,6,6,0,5,0
2020-06-09,848,345,22,6,4,0,0,0
2020-06-10,854,351,22,6,6,0,6,0
2020-06-11,866,354,22,6,12,0,3,0
2020-06-12,877,356,22,6,11,0,2,0
2020-06-13,892,356,22,6,15,0,0,0
2020-06-14,892,356,22,6,0,0,0,0
2020-06-15,915,360,22,6,23,0,4,0
2020-06-16,947,367,22,6,32,0,7,0
2020-06-17,986,369,22,6,39,0,2,0
2020-06-18,1043,376,22,6,57,0,7,0
2020-06-19,1100,403,22,6,57,0,27,0
2020-06-20,1166,433,22,6,66,0,30,0
2020-06-21,1166,433,22,6,0,0,0,0
2020-06-22,1307,470,22,6,141,0,37,0
2020-06-23,1383,494,22,6,76,0,24,0
2020-06-24,1484,546,23,6,101,1,52,0
2020-06-25,1585,601,23,6,101,0,55,0
2020-06-26,1752,652,23,6,167,0,51,0
2020-06-27,1841,692,23,6,89,0,40,0
2020-06-28,1841,692,23,6,0,0,0,0
2020-06-29,2040,763,23,6,199,0,71,0
2020-06-30,2169,856,23,6,129,0,93,0
2020-07-01,2288,900,23,6,119,0,44,0
2020-07-02,2367,980,23,6,79,0,80,0
2020-07-03,2507,1092,23,6,140,0,112,0
2020-07-04,2631,1253,23,6,124,0,161,0
2020-07-05,2835,1346,23,6,204,0,93,0
2020-07-06,3073,1399,23,6,238,0,53,0
2020-07-07,3268,1485,23,6,195,0,86,0
2020-07-08,3431,1561,23,9,163,0,76,3
2020-07-09,3642,1665,25,10,211,2,104,1
2020-07-10,3812,1777,25,10,170,0,112,0
2020-07-11,3975,2010,25,11,163,0,233,1
2020-07-12,4146,2106,25,11,171,0,96,0
2020-07-13,4472,2178,25,11,326,0,72,0
2020-07-14,4667,2281,25,12,195,0,103,1
2020-07-15,4880,2555,29,15,213,4,274,3
2020-07-16,5132,2730,30,16,252,1,175,1
2020-07-17,5457,2834,32,18,325,2,104,2
2020-07-18,5723,2986,32,19,266,0,152,1
2020-07-19,5900,3163,32,19,177,0,177,0
2020-07-20,5999,3317,33,19,99,1,154,0
2020-07-21,6195,3493,36,20,196,3,176,1
2020-07-22,6423,3598,41,22,228,5,105,2
2020-07-23,6619,3683,44,23,196,3,85,1
2020-07-24,6732,3814,45,26,113,1,131,3
2020-07-25,6942,4014,45,27,210,0,200,1
2020-07-26,7092,4108,45,27,150,0,94,0
2020-07-27,7203,4255,48,30,111,3,147,3
2020-07-28,7378,4333,50,32,175,2,78,2
2020-07-29,7515,4449,53,34,137,3,116,2
2020-07-30,7691,4595,56,34,176,3,146,0
2020-07-31,7834,4706,62,37,143,6,111,3
2020-08-01,8004,4778,62,37,170,0,72,0
2020-08-02,8041,4869,62,37,37,0,91,0
2020-08-03,8069,4959,66,37,28,4,90,0
2020-08-04,8280,5111,70,42,211,4,152,5
2020-08-05,8415,5199,72,43,135,2,88,1
2020-08-06,8569,5453,76,46,154,4,254,3
2020-08-07,8720,5620,77,48,151,1,167,2
2020-08-08,8932,5726,81,48,212,4,106,0
2020-08-09,8949,5772,81,48,17,0,46,0
2020-08-10,9144,5869,83,48,195,2,97,0
2020-08-11,9315,5951,85,51,171,2,82,3
2020-08-12,9425,6064,85,51,110,0,113,0
2020-08-13,9595,6137,90,51,170,5,73,0
2020-08-14,9753,6257,94,56,158,4,120,5
2020-08-15,9924,6308,95,56,171,1,51,0
2020-08-16,9968,6362,95,56,44,0,54,0
2020-08-17,10048,6422,96,58,80,1,60,2
2020-08-18,10132,6501,98,61,84,2,79,3
2020-08-19,10228,6589,102,61,96,4,88,0
2020-08-20,10348,6650,102,63,120,0,61,2
2020-08-21,10450,6663,109,62,102,7,13,-1
2020-08-22,10562,6735,109,64,112,0,72,2
2020-08-23,10592,6798,109,65,30,0,63,1
2020-08-24,10700,6825,111,65,108,2,27,0
2020-08-25,10779,6910,113,70,79,2,85,5
2020-08-26,10871,6950,116,71,92,3,40,1
2020-08-27,10944,7004,118,73,73,2,54,2
2020-08-28,11028,7051,125,74,84,7,47,1
2020-08-29,11080,7126,125,75,52,0,75,1
